,Date,Country,Price,Year,Month,Week
550,2013-01-14,BE,356.68,2013,1,3
551,2013-01-21,BE,355.9,2013,1,4
552,2013-01-28,BE,356.27,2013,1,5
553,2013-02-04,BE,356.58,2013,2,6
554,2013-02-11,BE,356.82,2013,2,7
555,2013-02-18,BE,356.8,2013,2,8
556,2013-02-25,BE,356.86,2013,2,9
557,2013-03-04,BE,356.94,2013,3,10
558,2013-03-11,BE,357.01,2013,3,11
559,2013-03-18,BE,357.06,2013,3,12
560,2013-03-25,BE,357.06,2013,3,13
561,2013-04-01,BE,357.23,2013,4,14
562,2013-04-08,BE,357.15,2013,4,15
563,2013-04-15,BE,355.44,2013,4,16
564,2013-04-22,BE,352.81,2013,4,17
565,2013-04-29,BE,352.16,2013,4,18
566,2013-05-06,BE,352.02,2013,5,19
567,2013-05-13,BE,349.51,2013,5,20
568,2013-05-20,BE,349.34,2013,5,21
569,2013-05-27,BE,349.34,2013,5,22
570,2013-06-03,BE,349.28,2013,6,23
571,2013-06-10,BE,349.34,2013,6,24
572,2013-06-17,BE,349.48,2013,6,25
573,2013-06-24,BE,349.53,2013,6,26
574,2013-07-01,BE,349.41,2013,7,27
575,2013-07-08,BE,349.91,2013,7,28
576,2013-07-15,BE,349.48,2013,7,29
577,2013-07-22,BE,349.48,2013,7,30
578,2013-07-29,BE,349.41,2013,7,31
579,2013-08-05,BE,349.37,2013,8,32
580,2013-08-12,BE,347.51,2013,8,33
581,2013-08-19,BE,347.2,2013,8,34
582,2013-08-26,BE,347.03,2013,8,35
583,2013-09-02,BE,348.08,2013,9,36
584,2013-09-09,BE,347.96,2013,9,37
585,2013-09-16,BE,345.74,2013,9,38
586,2013-09-23,BE,344.54,2013,9,39
587,2013-09-30,BE,343.1,2013,9,40
588,2013-10-07,BE,340.93,2013,10,41
589,2013-10-14,BE,341.67,2013,10,42
590,2013-10-21,BE,342.01,2013,10,43
591,2013-10-28,BE,341.05,2013,10,44
592,2013-11-04,BE,340.65,2013,11,45
